dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
rico,rolling,1521,-52,60,0.85,0.09999999999999998,0.3200637337609143,False
rico,rolling,1581,-51,60,1.0,0.050000000000000044,0.31492744314321575,False
rico,rolling,1641,-50,60,1.0,0.050000000000000044,0.30326955127546074,False
rico,rolling,1701,-49,60,0.9166666666666666,0.033333333333333326,0.3011513439885313,False
rico,rolling,1761,-48,60,0.9833333333333333,0.033333333333333326,0.3074138177054566,False
rico,rolling,1821,-47,60,1.0,0.050000000000000044,0.3032147293950548,False
rico,rolling,1881,-46,60,0.9833333333333333,0.033333333333333326,0.2811396559825017,False
rico,rolling,1941,-45,60,0.8166666666666667,0.1333333333333333,0.28217374898408476,False
rico,rolling,2001,-44,60,0.8,0.1499999999999999,0.33099814259318255,False
rico,rolling,2061,-43,60,1.0,0.050000000000000044,0.3432509001786528,False
rico,rolling,2121,-42,60,0.7333333333333333,0.21666666666666667,0.34859209935729696,False
rico,rolling,2181,-41,60,0.9166666666666666,0.033333333333333326,0.36049483747295347,False
rico,rolling,2241,-40,60,0.8333333333333334,0.11666666666666659,0.38602735958395124,False
rico,rolling,2301,-39,60,1.0,0.050000000000000044,0.40563621134626826,False
rico,rolling,2361,-38,60,1.0,0.050000000000000044,0.4048578975089825,False
rico,rolling,2421,-37,60,0.65,0.29999999999999993,0.4351617192207925,False
rico,rolling,2481,-36,60,0.95,0.0,0.5385608749683044,False
rico,rolling,2541,-35,60,1.0,0.050000000000000044,0.5604009420493464,False
rico,rolling,2601,-34,60,0.85,0.09999999999999998,0.5611201312155244,False
rico,rolling,2661,-33,60,0.8333333333333334,0.11666666666666659,0.6303567909973293,False
rico,rolling,2721,-32,60,1.0,0.050000000000000044,0.6570468632807689,False
rico,rolling,2781,-31,60,1.0,0.050000000000000044,0.6487253499377239,False
rico,rolling,2841,-30,60,1.0,0.050000000000000044,0.6472568475830689,False
