model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
43,cqr_rolling,360min_4of36,combined,0.20054538687635992,95.79896462153972,564,2163,40.0,60.0,21,9907,68.79861111111111,53,0.7703643888159887,2608,18.11111111111111,0.2632482083375391
43,cqr_rolling,360min_4of36,numerical_only,0.156255680403245,99.21336114345154,444,2283,40.0,70.0,21,9907,68.79861111111111,53,0.7703643888159887,2608,18.11111111111111,0.2632482083375391
43,cqr_rolling,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,cqr_rolling,60min_4of6,combined,0.30712677876147215,88.51972454702192,865,1862,40.0,50.0,21,9907,68.79861111111111,67,0.9738568688805894,726,5.041666666666666,0.07328151811850206
43,cqr_rolling,60min_4of6,numerical_only,0.2525988696906407,93.26775052168823,716,2011,40.0,80.0,21,9907,68.79861111111111,67,0.9738568688805894,726,5.041666666666666,0.07328151811850206
43,cqr_rolling,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,cqr_rolling,single_sample,combined,0.6910984786516814,47.21915575120379,1850,877,10.0,60.0,21,9907,68.79861111111111,223,3.241344503886141,901,6.256944444444444,0.09094579590188755
43,cqr_rolling,single_sample,numerical_only,0.46162051168618,71.15341979588722,1297,1430,10.0,60.0,21,9907,68.79861111111111,223,3.241344503886141,901,6.256944444444444,0.09094579590188755
43,cqr_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,cqr_static,180min_3of18,combined,0.16703423135964315,97.66524065823606,460,2267,30.0,70.0,21,9907,68.79861111111111,33,0.479660845866559,7676,53.30555555555555,0.7748056929443826
43,cqr_static,180min_3of18,numerical_only,0.13427484881038726,101.00008909712493,374,2353,30.0,90.0,21,9907,68.79861111111111,33,0.479660845866559,7676,53.30555555555555,0.7748056929443826
43,cqr_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
43,cqr_static,30min_3of3,combined,0.32992402631071904,90.63263787020323,924,1803,40.0,80.0,21,9907,68.79861111111111,108,1.5697991319269202,6526,45.31944444444444,0.6587261532249924
43,cqr_static,30min_3of3,numerical_only,0.4708924918929285,85.81993809042112,1255,1472,60.0,80.0,21,9907,68.79861111111111,108,1.5697991319269202,6526,45.31944444444444,0.6587261532249924
43,cqr_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
